url,adress
https://spb.hh.ru/vacancy/30703148,"Площадь Мужества, Санкт-Петербург, Политехническая улица"
https://spb.hh.ru/vacancy/30422362,"Нарвская, Санкт-Петербург, Межевой канал, 3к2"
https://spb.hh.ru/vacancy/30595517,"Ладожская, Санкт-Петербург, Магнитогорская улица, 51Е"
https://spb.hh.ru/vacancy/28028011,"Парнас, Санкт-Петербург, 2 линия"
https://spb.hh.ru/vacancy/30680735,"Старая Деревня, Санкт-Петербург, улица Савушкина, 83к3"
https://spb.hh.ru/vacancy/30754084,"Фрунзенская, Санкт-Петербург, Киевская улица, 5к4"
https://spb.hh.ru/vacancy/30328505,"Кировский завод, Санкт-Петербург, 1 линия"
https://spb.hh.ru/vacancy/30714585,"Международная, Санкт-Петербург, Софийская улица, 38к2"
https://spb.hh.ru/vacancy/30462346,"Московская, Санкт-Петербург, 2 линия, метро Московская"
https://spb.hh.ru/vacancy/28806741,"Санкт-Петербург, Балтийская, Санкт-Перебург, Митрофаньевский тупик"
https://spb.hh.ru/vacancy/25090534,"Чернышевская, Санкт-Петербург, ул. Госпитальная, 3"
https://spb.hh.ru/vacancy/30651128,"Санкт-Петербург, Владимирская, "
https://spb.hh.ru/vacancy/30726510,"Площадь Ленина, Санкт-Петербург, площадь Ленина"
https://spb.hh.ru/vacancy/28582424,"Звёздная, Санкт-Петербург, Московское шоссе, 42к2"
https://spb.hh.ru/vacancy/30162120,"Электросила, Санкт-Петербург, улица Решетникова, 14"
https://spb.hh.ru/vacancy/30150293,"Московские ворота, Санкт-Петербург, Лиговский проспект, 254"
https://spb.hh.ru/vacancy/30314652,"Невский проспект, Санкт-Петербург, Большая Конюшенная улица, 21-23"
https://spb.hh.ru/vacancy/27512743,"Санкт-Петербург, Нарвская, "
https://spb.hh.ru/vacancy/30445596,"Площадь Ленина, Санкт-Петербург, Комсомола, 41"
https://spb.hh.ru/vacancy/30558007,"Старая Деревня, Санкт-Петербург, Торфяная дорога, 7"
https://spb.hh.ru/vacancy/30219892,"Лесная, Санкт-Петербург, Большой Сампсониевский проспект, 68"
https://spb.hh.ru/vacancy/30228613,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 112к2литЗ"
https://spb.hh.ru/vacancy/30135403,"Василеостровская, Санкт-Петербург, В.О. , 21 линия, 6 ""А"""
https://spb.hh.ru/vacancy/30439031,"Политехническая, Санкт-Петербург, Гжатская улица, 21к2"
https://spb.hh.ru/vacancy/30391707,"Санкт-Петербург, Василеостровская, "
https://spb.hh.ru/vacancy/30486349,"Парк Победы, Санкт-Петербург, Свеаборгская улица, 12"
https://spb.hh.ru/vacancy/30718146,"Московские ворота, Санкт-Петербург, Московский район, Цветочная улица, 2"
https://spb.hh.ru/vacancy/30467466,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 21"
https://spb.hh.ru/vacancy/30552613,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 120Л"
https://spb.hh.ru/vacancy/30702762,"Елизаровская, Санкт-Петербург, улица Седова, 37"
